policy,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
greedy_queue,4,2,-914.50,42,50,8,0,19.60,725,1029.40
greedy_queue,4,3,-791.30,46,56,10,0,21.96,650,923.00
greedy_queue,4,4,-648.70,59,77,18,0,23.38,571,814.60
greedy_queue,5,0,-875.50,48,54,6,0,16.30,706,1001.80
greedy_queue,5,1,-771.00,52,64,12,0,20.47,640,914.40
greedy_queue,5,2,-830.70,45,53,8,0,17.55,673,957.00
greedy_queue,5,3,-828.30,49,55,6,0,15.27,680,959.40
greedy_queue,5,4,-855.00,40,51,11,0,21.96,677,974.40
greedy_queue,6,0,-688.80,59,65,6,0,16.62,593,846.00
greedy_queue,6,1,-702.10,54,66,12,0,22.42,601,854.20
greedy_queue,6,2,-768.50,50,60,10,0,21.33,635,903.80
greedy_queue,6,3,-806.70,50,60,10,0,19.00,666,947.40
greedy_queue,6,4,-725.10,53,60,7,0,17.00,614,873.00
greedy_queue,7,0,-806.60,58,66,7,0,14.55,676,953.60
greedy_queue,7,1,-841.40,49,57,8,0,16.84,680,970.40
greedy_queue,7,2,-860.10,47,56,9,0,18.39,699,989.40
greedy_queue,7,3,-760.90,58,65,6,0,16.00,649,916.60
greedy_queue,7,4,-662.90,60,67,7,0,16.27,587,831.80
greedy_queue,8,0,-846.70,46,51,5,0,19.02,688,977.80
greedy_queue,8,1,-572.00,63,73,10,0,18.36,533,753.20
greedy_queue,8,2,-738.70,54,62,7,0,17.26,623,886.60
greedy_queue,8,3,-778.60,48,63,15,0,21.90,638,916.00
greedy_queue,8,4,-639.80,62,70,8,0,18.14,567,812.00
greedy_queue,9,0,-645.10,58,71,12,0,19.15,571,812.20
greedy_queue,9,1,-750.90,53,66,13,0,22.58,628,903.00
greedy_queue,9,2,-786.20,49,58,9,0,19.66,647,920.00
greedy_queue,9,3,-805.20,45,53,8,0,19.81,659,932.40
greedy_queue,9,4,-748.20,58,66,8,0,17.58,642,907.20
greedy_queue,10,0,-863.40,42,47,5,0,17.02,697,984.00
greedy_queue,10,1,-667.10,63,72,9,0,19.03,580,835.40
greedy_queue,10,2,-820.30,43,48,5,0,15.62,667,939.40
greedy_queue,10,3,-643.60,65,77,11,0,20.39,583,823.60
greedy_queue,10,4,-801.40,50,57,7,0,16.14,658,935.20
greedy_queue,11,0,-721.10,54,62,7,0,18.06,613,871.40
greedy_queue,11,1,-924.60,46,49,3,0,15.92,738,1046.40
greedy_queue,11,2,-741.90,55,64,9,0,17.97,629,894.60
greedy_queue,11,3,-751.30,56,66,10,0,18.94,628,904.60
greedy_queue,11,4,-708.70,55,67,12,0,18.96,603,860.20
greedy_queue,12,0,-829.80,50,56,6,0,16.79,685,967.20
greedy_queue,12,1,-774.00,58,67,9,0,18.06,658,930.00
greedy_queue,12,2,-794.90,47,53,6,0,17.36,655,927.80
greedy_queue,12,3,-901.80,39,45,5,0,15.11,709,1005.60
greedy_queue,12,4,-673.80,57,67,10,0,20.00,591,832.80
greedy_queue,13,0,-696.30,54,66,12,0,19.09,600,849.00
greedy_queue,13,1,-868.40,35,42,7,0,20.24,688,974.00
greedy_queue,13,2,-637.40,55,65,10,0,17.85,562,797.60
greedy_queue,13,3,-638.70,54,65,11,0,21.08,561,796.20
greedy_queue,13,4,-800.00,52,60,8,0,18.00,662,940.40
greedy_queue,14,0,-780.60,49,59,9,0,16.61,648,921.60
greedy_queue,14,1,-749.50,60,68,8,0,17.35,641,908.20
greedy_queue,14,2,-850.30,41,50,9,0,18.80,678,965.80
greedy_queue,14,3,-658.70,59,66,7,0,17.42,577,818.60
greedy_queue,14,4,-784.00,50,61,11,0,19.51,644,922.00
greedy_queue,15,0,-866.40,48,54,6,0,16.67,701,990.00
greedy_queue,15,1,-721.70,55,64,9,0,20.31,612,875.00
greedy_queue,15,2,-868.90,47,55,8,0,19.09,705,995.80
greedy_queue,15,3,-816.70,44,55,11,0,22.00,660,941.80
greedy_queue,15,4,-843.50,46,54,8,0,18.89,689,974.60
greedy_queue,16,0,-751.80,51,57,6,0,18.42,635,900.00
greedy_queue,16,1,-715.30,51,62,10,0,20.16,609,861.40
greedy_queue,16,2,-854.30,45,50,5,0,15.60,686,974.60
greedy_queue,16,3,-769.70,51,56,5,0,16.43,641,911.00
greedy_queue,16,4,-664.00,59,74,15,0,19.32,580,835.60
greedy_queue,17,0,-833.10,42,49,7,0,18.16,672,954.60
greedy_queue,17,1,-751.60,56,66,10,0,16.82,642,910.00
greedy_queue,17,2,-642.80,59,70,11,0,19.29,570,808.40
greedy_queue,17,3,-780.90,49,60,11,0,20.17,646,919.80
greedy_queue,17,4,-659.40,63,71,8,0,17.46,588,832.80
greedy_queue,18,0,-802.60,48,57,9,0,20.88,659,937.60
greedy_queue,18,1,-793.70,46,53,7,0,19.43,648,920.60
greedy_queue,18,2,-654.60,64,74,10,0,19.46,588,830.40
greedy_queue,18,3,-969.10,34,40,6,0,17.25,754,1064.20
greedy_queue,18,4,-640.70,62,71,9,0,17.61,576,816.20
greedy_queue,19,0,-882.60,44,51,6,0,16.67,716,1008.00
greedy_queue,19,1,-766.70,55,62,7,0,16.45,643,917.00
greedy_queue,19,2,-776.00,51,58,7,0,17.41,644,916.40
greedy_queue,19,3,-876.50,46,52,6,0,16.92,703,1002.20
greedy_queue,19,4,-768.40,50,58,8,0,17.41,647,907.60
newsvendor,0,0,134.50,73,76,3,0,13.16,47,84.20
newsvendor,0,1,58.80,52,52,0,0,11.15,51,94.80
newsvendor,0,2,91.90,49,49,0,0,10.82,26,51.80
newsvendor,0,3,88.80,57,57,0,0,11.40,41,75.60
newsvendor,0,4,135.80,78,81,3,0,11.98,50,90.40
newsvendor,1,0,116.10,57,57,0,0,11.75,34,66.60
newsvendor,1,1,69.90,54,54,0,0,11.30,47,84.60
newsvendor,1,2,83.60,55,55,0,0,10.91,40,77.20
newsvendor,1,3,71.50,57,57,0,0,10.53,53,92.60
newsvendor,1,4,60.00,55,55,0,0,12.00,52,99.60
newsvendor,2,0,81.50,51,51,0,0,10.39,38,71.80
newsvendor,2,1,135.70,68,68,0,0,12.06,36,67.40
newsvendor,2,2,96.70,57,57,0,0,11.40,39,75.80
newsvendor,2,3,80.10,62,62,0,0,11.45,54,97.80
newsvendor,2,4,118.50,60,60,0,0,11.33,35,66.60
newsvendor,3,0,100.10,70,70,0,0,12.00,52,97.00
newsvendor,3,1,31.70,43,44,0,0,11.36,54,97.00
newsvendor,3,2,98.00,58,58,0,0,10.52,37,72.40
newsvendor,3,3,62.30,56,58,1,0,11.38,58,105.40
newsvendor,3,4,134.70,73,73,0,0,11.23,47,84.60
newsvendor,4,0,139.20,68,69,1,0,12.75,32,63.60
newsvendor,4,1,34.00,49,49,0,0,12.04,58,107.60
newsvendor,4,2,44.20,50,50,0,0,11.80,54,99.20
newsvendor,4,3,108.70,56,56,0,0,11.43,32,61.40
newsvendor,4,4,153.00,74,77,3,0,16.10,36,69.60
newsvendor,5,0,77.10,54,54,0,0,11.11,38,72.60
newsvendor,5,1,111.80,63,64,1,0,11.72,43,80.80
newsvendor,5,2,88.30,53,53,0,0,11.51,37,71.00
newsvendor,5,3,74.70,54,55,1,0,10.91,42,75.00
newsvendor,5,4,99.20,51,51,0,0,11.18,35,65.20
newsvendor,6,0,104.10,65,65,0,0,11.38,40,76.20
newsvendor,6,1,121.00,65,66,1,0,12.42,40,75.20
newsvendor,6,2,91.30,58,60,2,0,14.50,43,79.40
newsvendor,6,3,117.10,59,60,1,0,12.17,31,59.00
newsvendor,6,4,93.40,60,60,0,0,11.00,44,84.80
newsvendor,7,0,105.70,65,66,0,0,11.06,38,67.40
newsvendor,7,1,82.40,57,57,0,0,11.40,44,77.20
newsvendor,7,2,71.90,55,56,1,0,12.86,44,83.80
newsvendor,7,3,112.90,64,65,0,0,10.77,35,65.00
newsvendor,7,4,110.40,67,67,0,0,10.75,48,87.60
newsvendor,8,0,94.90,51,51,0,0,11.18,30,57.80
newsvendor,8,1,154.60,73,73,0,0,11.78,34,68.00
newsvendor,8,2,124.70,61,62,0,0,10.65,27,52.60
newsvendor,8,3,135.20,62,63,1,0,12.38,32,60.40
newsvendor,8,4,128.70,70,70,0,0,11.14,41,77.40
newsvendor,9,0,157.50,69,71,1,0,11.55,29,55.80
newsvendor,9,1,138.80,66,66,0,0,12.42,37,67.60
newsvendor,9,2,85.60,58,58,0,0,12.41,45,86.00
newsvendor,9,3,94.60,53,53,0,0,11.89,33,63.20
newsvendor,9,4,116.00,66,66,0,0,11.82,39,74.80
newsvendor,10,0,87.10,47,47,0,0,11.49,27,54.20
newsvendor,10,1,154.10,72,72,0,0,10.56,29,56.20
newsvendor,10,2,69.90,48,48,0,0,10.42,37,67.80
newsvendor,10,3,126.70,76,77,0,0,12.21,51,95.00
newsvendor,10,4,86.30,57,57,0,0,10.35,42,76.60
newsvendor,11,0,88.70,61,62,0,0,11.77,49,88.60
newsvendor,11,1,26.70,49,49,0,0,11.02,58,106.20
newsvendor,11,2,113.00,64,64,0,0,11.88,42,76.00
newsvendor,11,3,140.90,66,66,0,0,10.76,26,51.40
newsvendor,11,4,124.10,67,67,0,0,11.94,41,75.40
newsvendor,12,0,75.20,56,56,0,0,11.07,47,84.40
newsvendor,12,1,133.90,67,67,0,0,11.04,28,54.20
newsvendor,12,2,87.10,53,53,0,0,10.94,40,73.40
newsvendor,12,3,38.00,44,45,0,0,10.44,47,84.40
newsvendor,12,4,111.50,67,67,0,0,11.19,48,91.00
newsvendor,13,0,133.70,66,66,0,0,11.52,36,63.40
newsvendor,13,1,71.20,42,42,0,0,11.43,34,64.40
newsvendor,13,2,148.00,65,65,0,0,10.46,28,52.40
newsvendor,13,3,125.00,65,65,0,0,12.31,45,80.80
newsvendor,13,4,117.50,60,60,0,0,11.50,27,52.60
newsvendor,14,0,102.40,58,59,0,0,10.51,40,76.40
newsvendor,14,1,118.70,68,68,0,0,11.91,41,71.80
newsvendor,14,2,82.40,50,50,0,0,11.60,36,70.00
newsvendor,14,3,144.00,66,66,0,0,11.52,21,42.00
newsvendor,14,4,140.10,61,61,0,0,13.28,24,47.40
newsvendor,15,0,59.80,54,54,0,0,11.11,47,87.20
newsvendor,15,1,97.00,64,64,0,0,11.56,49,92.00
newsvendor,15,2,91.70,54,55,1,0,11.09,36,63.40
newsvendor,15,3,109.60,55,55,0,0,13.09,30,59.60
newsvendor,15,4,86.50,54,54,0,0,12.22,40,72.20
newsvendor,16,0,83.40,57,57,0,0,12.11,52,91.20
newsvendor,16,1,94.20,61,62,0,0,12.26,51,91.20
newsvendor,16,2,62.30,50,50,0,0,10.80,42,76.60
newsvendor,16,3,84.80,56,56,0,0,11.25,42,77.20
newsvendor,16,4,139.90,74,74,0,0,11.35,54,95.00
newsvendor,17,0,61.50,49,49,0,0,11.43,48,89.40
newsvendor,17,1,121.50,66,66,0,0,11.21,41,77.40
newsvendor,17,2,127.10,70,70,0,0,11.43,45,81.40
newsvendor,17,3,106.80,59,60,1,0,12.33,40,75.60
newsvendor,17,4,135.40,70,71,1,0,11.13,39,70.40
newsvendor,18,0,81.60,57,57,0,0,11.40,49,87.60
newsvendor,18,1,83.10,53,53,0,0,11.89,39,75.00
newsvendor,18,2,165.90,73,74,1,0,12.70,25,48.60
newsvendor,18,3,37.10,40,40,0,0,11.00,43,81.40
newsvendor,18,4,150.20,71,71,0,0,10.99,33,61.60
newsvendor,19,0,67.10,50,51,0,0,11.18,44,83.80
newsvendor,19,1,113.00,62,62,0,0,10.81,35,66.40
newsvendor,19,2,110.10,58,58,0,0,11.21,32,59.40
newsvendor,19,3,82.10,52,52,0,0,10.00,35,65.80
newsvendor,19,4,65.20,58,58,0,0,11.55,58,102.80
